GOTERM,GONAME,Fasta,NaCl60gLRPKM,NaCl20_100_3.6gLRPKM,Treatment
GO:0005975,carbohydrate metabolic process,TD01GL000314,2.860826561,2.281750229,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000357,2.656930646,3.024391323,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000389,2.114502996,2.097724604,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000429,1.205226457,0.884454125,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000456,1.967389563,1.986887434,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000504,2.006089967,2.171219577,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000533,2.375411826,2.339559551,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000534,2.511397094,2.502952824,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000535,2.519792531,2.542851,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000536,2.033427638,2.18642475,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000554,1.383524554,1.281119432,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000570,1.56342933,1.331178972,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000620,1.581852825,1.076549667,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000667,2.007182477,3.007724046,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000732,2.159778816,2.598520287,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000733,2.276770383,2.712329776,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000850,1.698946899,1.285062524,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000900,2.19891112,2.644962475,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000973,2.751132007,1.656916656,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000978,2.056998595,1.364568157,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000979,2.533483807,1.396245013,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000981,2.148947467,1.500908633,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000982,1.842049616,2.283789113,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000983,1.74760908,2.29011785,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000990,1.872026025,1.422670387,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001009,1.855301572,1.083880096,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001010,2.043558341,1.548573712,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001033,1.386966937,1.10198647,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001034,2.009236204,1.13844711,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001058,2.668269273,2.914854522,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001060,2.744062217,2.956074198,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001069,0.860946688,1.290204374,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001074,1.635303327,1.10069326,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001085,2.150783162,2.188534091,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001099,2.737699026,1.987519234,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001107,2.57560066,2.658889263,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001222,2.041160003,2.295234175,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001224,2.208288895,1.943673823,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001255,1.793914788,2.036251573,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001283,2.145184764,2.131899374,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001290,1.035900296,1.251786971,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001291,0.984979377,0.766951214,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001380,2.335232787,2.82786673,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001381,2.495288682,3.019994651,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001404,2.19927239,2.376227553,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001407,1.308603425,2.339802676,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001412,3.127576422,3.185026875,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001413,1.835775086,1.697930587,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001421,1.382915424,0.974182335,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001437,2.508131129,2.90737908,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001438,2.792091095,2.929047013,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001440,1.267161402,1.019134921,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001441,1.8429032,1.971182396,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001443,2.316875249,2.220124993,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001444,2.386227374,2.598994316,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001508,1.636882503,1.197311513,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001582,2.717408993,2.623328395,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001680,2.244444578,2.430188242,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001683,2.726730987,2.242149933,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001684,2.119489758,1.667283959,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001725,3.831894424,3.601843177,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001742,2.051523398,2.269284883,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001852,0.929598289,0.595041188,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001868,2.264129897,2.156091146,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001870,2.109356241,2.163850434,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001910,2.695069441,2.000977042,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL001987,2.001446756,1.803252395,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002081,1.610823402,1.852080675,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002083,1.989280443,1.51150269,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002087,1.253544134,0.816273294,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002131,1.813061986,1.443088078,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002132,1.995942415,2.089897809,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002133,1.932117685,1.852198149,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002136,2.328350246,1.722950446,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002234,3.237301659,3.031034974,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002235,2.487704637,2.276573459,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002280,1.818461461,1.890809964,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002281,1.789819932,1.8923311,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002282,2.12111928,1.987170058,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002295,3.173705064,2.922167376,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002301,2.057044792,2.458596117,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002314,1.933654739,2.263594502,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002337,2.253402008,2.407885928,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002338,2.098550637,2.265196418,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002360,1.544983543,1.457699351,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002404,2.061180464,2.086184899,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002472,1.864805007,2.098776039,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002473,1.610849411,2.142404801,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002475,1.800476326,2.04038434,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002488,2.818447191,2.282438079,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002491,2.187169486,2.150831666,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002492,2.335201516,2.373004602,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002493,2.449454278,2.468863448,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002506,2.563452003,2.64556807,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002507,2.475000683,2.620352073,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002513,2.583679235,2.803028454,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002517,2.426758368,2.462764377,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002518,2.634200298,2.50723182,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002519,2.600924523,2.326487772,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002520,2.584120666,2.41121961,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002531,1.710122985,1.975193586,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002551,2.530448499,3.099145531,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002554,3.2434146,2.933866082,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002559,2.306395337,2.361372051,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002576,2.62911795,1.328814359,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002588,2.380859231,0.893454916,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002629,2.187344743,2.158760744,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002732,2.051698971,2.412429375,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002828,1.242576298,1.109797039,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002900,2.307849509,1.842339074,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002918,1.537154336,1.812924557,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002921,1.910608469,2.091030593,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL002996,2.03027967,1.899845813,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL003014,2.10297624,1.910540455,20gNaCl
